% Nodes:             183799
0	0.024	0.038	1.0709e+18
0	0.024	0.04	1.0019e+18
0	0.024	0.042	9.3727e+17
0	0.024	0.044	8.7682e+17
0	0.024	0.046	8.2027e+17
0	0.024	0.048	7.6737e+17
0	0.024	0.05	7.1788e+17
0	0.024	0.052	6.7158e+17
0	0.024	0.054	6.2827e+17
0	0.024	0.056	5.8775e+17
0	0.024	0.058	5.4984e+17
0	0.024	0.06	5.1438e+17
0	0.026	0	3.6714e+18
0	0.026	0.002	3.4347e+18
0	0.026	0.004	3.2132e+18
0	0.026	0.006	3.0059e+18
0	0.026	0.008	2.8121e+18
0	0.026	0.01	2.6307e+18
0	0.026	0.012	2.461e+18
0	0.026	0.014	2.3023e+18
0	0.026	0.016	2.1538e+18
0	0.026	0.018	2.0149e+18
0	0.026	0.02	1.885e+18
0	0.026	0.022	1.7634e+18
0	0.026	0.024	1.6497e+18
0	0.026	0.026	1.5433e+18
0	0.026	0.028	1.4438e+18
0	0.026	0.03	1.3507e+18
0	0.026	0.032	1.2635e+18
0	0.026	0.034	1.1821e+18
0	0.026	0.036	1.1058e+18
0	0.026	0.038	1.0345e+18
0	0.026	0.04	9.6778e+17
0	0.026	0.042	9.0537e+17
0	0.026	0.044	8.4698e+17
0	0.026	0.046	7.9235e+17
0	0.026	0.048	7.4125e+17
0	0.026	0.05	6.9345e+17
0	0.026	0.052	6.4872e+17
0	0.026	0.054	6.0689e+17
0	0.026	0.056	5.6775e+17
0	0.026	0.058	5.3113e+17
0	0.026	0.06	4.9688e+17
0	0.028	0	3.5367e+18
0	0.028	0.002	3.3086e+18
0	0.028	0.004	3.0952e+18
0	0.028	0.006	2.8956e+18
0	0.028	0.008	2.7088e+18
0	0.028	0.01	2.5341e+18
0	0.028	0.012	2.3707e+18
0	0.028	0.014	2.2178e+18
0	0.028	0.016	2.0748e+18
0	0.028	0.018	1.941e+18
0	0.028	0.02	1.8158e+18
0	0.028	0.022	1.6987e+18
0	0.028	0.024	1.5891e+18
0	0.028	0.026	1.4866e+18
0	0.028	0.028	1.3908e+18
0	0.028	0.03	1.3011e+18
0	0.028	0.032	1.2172e+18
0	0.028	0.034	1.1387e+18
0	0.028	0.036	1.0652e+18
0	0.028	0.038	9.9653e+17
0	0.028	0.04	9.3226e+17
0	0.028	0.042	8.7214e+17
0	0.028	0.044	8.1589e+17
0	0.028	0.046	7.6327e+17
0	0.028	0.048	7.1404e+17
0	0.028	0.05	6.6799e+17
0	0.028	0.052	6.2491e+17
0	0.028	0.054	5.8461e+17
0	0.028	0.056	5.4691e+17
0	0.028	0.058	5.1164e+17
0	0.028	0.06	4.7864e+17
0	0.03	0	3.3974e+18
0	0.03	0.002	3.1783e+18
0	0.03	0.004	2.9734e+18
0	0.03	0.006	2.7816e+18
0	0.03	0.008	2.6022e+18
0	0.03	0.01	2.4344e+18
0	0.03	0.012	2.2774e+18
0	0.03	0.014	2.1305e+18
0	0.03	0.016	1.9931e+18
0	0.03	0.018	1.8646e+18
0	0.03	0.02	1.7443e+18
0	0.03	0.022	1.6318e+18
0	0.03	0.024	1.5266e+18
0	0.03	0.026	1.4281e+18
0	0.03	0.028	1.336e+18
0	0.03	0.03	1.2499e+18
0	0.03	0.032	1.1692e+18
0	0.03	0.034	1.0938e+18
0	0.03	0.036	1.0233e+18
0	0.03	0.038	9.573e+17
0	0.03	0.04	8.9556e+17
0	0.03	0.042	8.378e+17
0	0.03	0.044	7.8377e+17
0	0.03	0.046	7.3322e+17
0	0.03	0.048	6.8593e+17
0	0.03	0.05	6.4169e+17
0	0.03	0.052	6.0031e+17
0	0.03	0.054	5.6159e+17
0	0.03	0.056	5.2538e+17
0	0.03	0.058	4.9149e+17
0	0.03	0.06	4.5979e+17
0	0.032	0	3.2547e+18
0	0.032	0.002	3.0448e+18
0	0.032	0.004	2.8484e+18
0	0.032	0.006	2.6647e+18
0	0.032	0.008	2.4928e+18
0	0.032	0.01	2.3321e+18
0	0.032	0.012	2.1817e+18
0	0.032	0.014	2.041e+18
0	0.032	0.016	1.9093e+18
0	0.032	0.018	1.7862e+18
0	0.032	0.02	1.671e+18
0	0.032	0.022	1.5632e+18
0	0.032	0.024	1.4624e+18
0	0.032	0.026	1.3681e+18
0	0.032	0.028	1.2799e+18
0	0.032	0.03	1.1973e+18
0	0.032	0.032	1.1201e+18
0	0.032	0.034	1.0479e+18
0	0.032	0.036	9.8028e+17
0	0.032	0.038	9.1706e+17
0	0.032	0.04	8.5792e+17
0	0.032	0.042	8.0259e+17
0	0.032	0.044	7.5083e+17
0	0.032	0.046	7.024e+17
0	0.032	0.048	6.571e+17
0	0.032	0.05	6.1473e+17
0	0.032	0.052	5.7508e+17
0	0.032	0.054	5.3799e+17
0	0.032	0.056	5.0329e+17
0	0.032	0.058	4.7084e+17
0	0.032	0.06	4.4047e+17
0	0.034	0	3.1092e+18
0	0.034	0.002	2.9087e+18
0	0.034	0.004	2.7211e+18
0	0.034	0.006	2.5456e+18
0	0.034	0.008	2.3815e+18
0	0.034	0.01	2.2279e+18
0	0.034	0.012	2.0842e+18
0	0.034	0.014	1.9498e+18
0	0.034	0.016	1.824e+18
0	0.034	0.018	1.7064e+18
0	0.034	0.02	1.5963e+18
0	0.034	0.022	1.4934e+18
0	0.034	0.024	1.3971e+18
0	0.034	0.026	1.307e+18
0	0.034	0.028	1.2227e+18
0	0.034	0.03	1.1438e+18
0	0.034	0.032	1.0701e+18
0	0.034	0.034	1.001e+18
0	0.034	0.036	9.3649e+17
0	0.034	0.038	8.7609e+17
0	0.034	0.04	8.1959e+17
0	0.034	0.042	7.6673e+17
0	0.034	0.044	7.1728e+17
0	0.034	0.046	6.7102e+17
0	0.034	0.048	6.2775e+17
0	0.034	0.05	5.8726e+17
0	0.034	0.052	5.4939e+17
0	0.034	0.054	5.1396e+17
0	0.034	0.056	4.8081e+17
0	0.034	0.058	4.498e+17
0	0.034	0.06	4.2079e+17
0	0.036	0	2.9621e+18
0	0.036	0.002	2.7711e+18
0	0.036	0.004	2.5924e+18
0	0.036	0.006	2.4252e+18
0	0.036	0.008	2.2688e+18
0	0.036	0.01	2.1225e+18
0	0.036	0.012	1.9856e+18
0	0.036	0.014	1.8575e+18
0	0.036	0.016	1.7377e+18
0	0.036	0.018	1.6256e+18
0	0.036	0.02	1.5208e+18
0	0.036	0.022	1.4227e+18
0	0.036	0.024	1.331e+18
0	0.036	0.026	1.2451e+18
0	0.036	0.028	1.1648e+18
0	0.036	0.03	1.0897e+18
0	0.036	0.032	1.0194e+18
0	0.036	0.034	9.5368e+17
0	0.036	0.036	8.9217e+17
0	0.036	0.038	8.3463e+17
0	0.036	0.04	7.8081e+17
0	0.036	0.042	7.3045e+17
0	0.036	0.044	6.8334e+17
0	0.036	0.046	6.3927e+17
0	0.036	0.048	5.9804e+17
0	0.036	0.05	5.5947e+17
0	0.036	0.052	5.2339e+17
0	0.036	0.054	4.8963e+17
0	0.036	0.056	4.5806e+17
0	0.036	0.058	4.2852e+17
0	0.036	0.06	4.0088e+17
0	0.038	0	2.8141e+18
0	0.038	0.002	2.6327e+18
0	0.038	0.004	2.4629e+18
0	0.038	0.006	2.304e+18
0	0.038	0.008	2.1554e+18
